Deal,URL HubSpot,Pipeline,Etapa,Executivo,Produto,Vidas,Colaboradores,1ª Fatura (R$),ARR Estimado (R$),Modelo,Agenciamento,Vitalício,Probabilidade (%),Quarter,Data Prevista,Dias no Pipe,Abr/26 Real (R$),Mai/26 Real (R$),Jun/26 Real (R$),Jul/26 Real (R$),Ago/26 Real (R$),Set/26 Real (R$),Out/26 Real (R$),Nov/26 Real (R$),Dez/26 Real (R$),Jan/27 Real (R$),Fev/27 Real (R$),Mar/27 Real (R$),Abr/27 Real (R$),Mai/27 Real (R$),Jun/27 Real (R$),Jul/27 Real (R$),Ago/27 Real (R$),Set/27 Real (R$),Out/27 Real (R$),Nov/27 Real (R$),Dez/27 Real (R$),Jan/28 Real (R$),Fev/28 Real (R$),Mar/28 Real (R$),Abr/26 Prob (R$),Mai/26 Prob (R$),Jun/26 Prob (R$),Jul/26 Prob (R$),Ago/26 Prob (R$),Set/26 Prob (R$),Out/26 Prob (R$),Nov/26 Prob (R$),Dez/26 Prob (R$),Jan/27 Prob (R$),Fev/27 Prob (R$),Mar/27 Prob (R$),Abr/27 Prob (R$),Mai/27 Prob (R$),Jun/27 Prob (R$),Jul/27 Prob (R$),Ago/27 Prob (R$),Set/27 Prob (R$),Out/27 Prob (R$),Nov/27 Prob (R$),Dez/27 Prob (R$),Jan/28 Prob (R$),Fev/28 Prob (R$),Mar/28 Prob (R$)
Cosan - Raízen,https://app.hubspot.com/contacts/44715285/deal/33627376683,Vendas,Negociação,-,Saúde,81099,55000,356800,4281600,Fee por vida,Não,Não,80,Q3,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPFL Energia,https://app.hubspot.com/contacts/44715285/deal/34036395042,Vendas,Cotação,-,,36362,14545,,,Fee por vida,Não,Não,60,Q4,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frigorífico Santa Rosa de Leme,https://app.hubspot.com/contacts/44715285/deal/42558551865,Vendas,Ganho,-,Saúde,355,,71687.2,860246.3999999999,Corretagem,,,100,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercado Bitcoin,https://app.hubspot.com/contacts/44715285/deal/43743337051,Vendas,Cotação,Guilherme Gabiatti,Saúde,748,450,561000,841500,Corretagem,Sim,Sim,5,Q3,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UME,https://app.hubspot.com/contacts/44715285/deal/44193156436,Vendas,Ganho,Guilherme Gabiatti,,198,,142000,1704000,,,,100,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALERIA.ag,https://app.hubspot.com/contacts/44715285/deal/44081340235,Vendas,Negociação,Juliana Dalberto,"Saúde;Odonto;Vida",782,782,1130936.02,678561.612,Corretagem,Não,Sim,50,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPTV,https://app.hubspot.com/contacts/44715285/deal/44206909287,Vendas,Cotação,Guilherme Gabiatti,Gestão de saúde,1653,1100,800000,480000,Corretagem,Não,Não,10,Q3,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBMM,https://app.hubspot.com/contacts/44715285/deal/44951469328,Vendas,Consultoria,-,Gestão de saúde,6117,2200,156000,1872000,Fee por vida,Não,Não,15,Q3,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalPass Brasil,https://app.hubspot.com/contacts/44715285/deal/45491276332,Vendas,Consultoria,Guilherme Gabiatti,Saúde,475,350,250000,375000,Corretagem,Sim,Sim,5,Q2,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEG,https://app.hubspot.com/contacts/44715285/deal/45489233075,Vendas,Negociação,Fausto Haderspeck,Gestão de saúde,38000,30000,265000,3180000,Fee por vida,Não,Não,50,Q3,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR,https://app.hubspot.com/contacts/44715285/deal/46637535036,Vendas,Consultoria,André Pontes,"Saúde;Odonto;Vida",974,467,373295.24,559942.86,Ambos,Sim,Sim,30,Q3,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash,https://app.hubspot.com/contacts/44715285/deal/47432680530,Vendas,Cotação,Guilherme Gabiatti,Saúde,1350,1000,700000,1050000,Corretagem,Sim,Sim,10,Q3,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo / Motorola,https://app.hubspot.com/contacts/44715285/deal/48474146109,Vendas,Consultoria,Juliana Dalberto,Gestão de saúde,5250,2100,27006,324072,Fee por vida,Não,Não,15,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGURA,https://app.hubspot.com/contacts/44715285/deal/50324205094,Vendas,Ganho,-,,18,,15000,180000,,,,100,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal4B - Soluções em Tecnologia,https://app.hubspot.com/contacts/44715285/deal/50551641685,Vendas,Consultoria,Guilherme Gabiatti,Saúde,259,259,88000,132000,Corretagem,Sim,Sim,50,Q2,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommShop,https://app.hubspot.com/contacts/44715285/deal/50435940691,Vendas,Cotação,Juliana Dalberto,Gestão de saúde,1237,1237,589292.76,883939.14,Corretagem,Sim,Sim,30,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rede Ápice,https://app.hubspot.com/contacts/44715285/deal/51249974156,Vendas,Cotação,-,Saúde,100,405,,,Corretagem,Sim,Sim,30,Q2,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mococa S/A - Produtos Alimentícios,https://app.hubspot.com/contacts/44715285/deal/51317316724,Vendas,Cotação,Juliana Dalberto,"Saúde;Gestão de saúde",775,775,7750,93000,Fee por vida,Não,Não,5,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wastebank,https://app.hubspot.com/contacts/44715285/deal/51340094845,Vendas,Implantação,-,Saúde,7,7,1717.33,5461.1094,Corretagem,Sim,Sim,100,Q2,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AstraZeneca,https://app.hubspot.com/contacts/44715285/deal/51515238912,Vendas,Negociação,Juliana Dalberto,Gestão de saúde,2750,1500,55000,660000,Fee por vida,Não,Não,30,Q2,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldorado Brasil Celulose S/A,https://app.hubspot.com/contacts/44715285/deal/52002375979,Vendas,Consultoria,-,Gestão de saúde,12000,5000,48000,576000,Fee por vida,Não,Não,50,Q3,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurante Comitê,https://app.hubspot.com/contacts/44715285/deal/52002389644,Vendas,Ganho,-,"Saúde;Odonto;Vida",5,,7482.57,89790.84,,,,100,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupo Maringá,https://app.hubspot.com/contacts/44715285/deal/52091223109,Vendas,Negociação,-,"Saúde;Odonto;Gestão de saúde",5957,3000,54506,654072,Fee por vida,Não,Não,80,Q3,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magazine Luiza - RFI 2026,https://app.hubspot.com/contacts/44715285/deal/53444016963,Vendas,Consultoria,Juliana Dalberto,"Saúde;Odonto",26147,30000,258855.3,3106263.6,Fee por vida,Não,Não,30,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Link Brasil,https://app.hubspot.com/contacts/44715285/deal/53451042685,Vendas,Implantação,Juliana Dalberto,"Saúde;Odonto;Vida",21,,13824.81,43962.8958,Corretagem,Sim,Sim,100,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYMZ,https://app.hubspot.com/contacts/44715285/deal/53696411051,Vendas,Cotação,Fausto Haderspeck,Gestão de saúde,80,80,62997.38,200331.6684,Corretagem,Sim,Sim,70,Q3,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biolab Sanus Farmacêutica - RFI 2026,https://app.hubspot.com/contacts/44715285/deal/53700628104,Vendas,Cotação,Juliana Dalberto,Saúde,10248,10248,97356,1168272,Fee por vida,Não,Não,5,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JWA Technologies,https://app.hubspot.com/contacts/44715285/deal/54259471631,Vendas,Ganho,-,Saúde,2,,2354,28248,Corretagem,,,100,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yampi,https://app.hubspot.com/contacts/44715285/deal/54956187502,Vendas,Negociação,André Pontes,"Saúde;Odonto",68,102,35008.62,8402.0688,Corretagem,Não,Sim,70,Q2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
