Deal,URL HubSpot,Pipeline,Etapa,Executivo,Produto,Vidas,Colaboradores,1ª Fatura (R$),ARR Estimado (R$),Modelo,Agenciamento,Vitalício,Probabilidade (%),Quarter,Data Prevista,Dias no Pipe,Jun/26 Real (R$),Jul/26 Real (R$),Ago/26 Real (R$),Set/26 Real (R$),Out/26 Real (R$),Nov/26 Real (R$),Dez/26 Real (R$),Jan/27 Real (R$),Fev/27 Real (R$),Mar/27 Real (R$),Abr/27 Real (R$),Mai/27 Real (R$),Jun/27 Real (R$),Jul/27 Real (R$),Ago/27 Real (R$),Set/27 Real (R$),Out/27 Real (R$),Nov/27 Real (R$),Dez/27 Real (R$),Jan/28 Real (R$),Fev/28 Real (R$),Mar/28 Real (R$),Abr/28 Real (R$),Mai/28 Real (R$),Jun/26 Prob (R$),Jul/26 Prob (R$),Ago/26 Prob (R$),Set/26 Prob (R$),Out/26 Prob (R$),Nov/26 Prob (R$),Dez/26 Prob (R$),Jan/27 Prob (R$),Fev/27 Prob (R$),Mar/27 Prob (R$),Abr/27 Prob (R$),Mai/27 Prob (R$),Jun/27 Prob (R$),Jul/27 Prob (R$),Ago/27 Prob (R$),Set/27 Prob (R$),Out/27 Prob (R$),Nov/27 Prob (R$),Dez/27 Prob (R$),Jan/28 Prob (R$),Fev/28 Prob (R$),Mar/28 Prob (R$),Abr/28 Prob (R$),Mai/28 Prob (R$)
Cosan - Raízen,https://app.hubspot.com/contacts/44715285/deal/33627376683,Bid,Negociação,Ágatta Marinho,Saúde,81099,55000,255000,3060000,Fee por vida,Não,Não,70,Q4,01/10/2026,479,,,,,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,,,,,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500,178500
CPFL Energia,https://app.hubspot.com/contacts/44715285/deal/34036395042,Bid,Proposta Enviada,Guilherme Gabiatti,,40161,14545,321288,3855456,Fee por vida,Não,Não,20,Q4,02/11/2026,470,,,,,,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,321288,,,,,,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258,64258
Frigorífico Santa Rosa de Leme,https://app.hubspot.com/contacts/44715285/deal/42558551865,Vendas,Ganho,Ágatta Marinho,Saúde,355,,71687.2,43012.32,Corretagem,Não,Sim,100,Q1,30/04/2026,295,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,,,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,3584,,
UME,https://app.hubspot.com/contacts/44715285/deal/44193156436,Vendas,Ganho,Guilherme Gabiatti,,198,,142000,451560,Corretagem,Sim,Sim,100,Q1,01/05/2026,263,142000,142000,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,,142000,142000,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,
GALERIA.ag,https://app.hubspot.com/contacts/44715285/deal/44081340235,Vendas,Implantação,Juliana Dalberto,"Saúde;Odonto;Vida",782,782,1130936.02,678561.612,Corretagem,Não,Sim,77,Q2,31/10/2026,262,,,,,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,56547,,,,,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541,43541
EPTV,https://app.hubspot.com/contacts/44715285/deal/44206909287,Vendas,Cotação,Guilherme Gabiatti,Gestão de saúde,1653,1100,800000,480000,Corretagem,Não,Não,10,Q3,31/10/2026,262,,,,,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,,,,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
TotalPass Brasil,https://app.hubspot.com/contacts/44715285/deal/45491276332,Vendas,Negociação,Guilherme Gabiatti,Saúde,509,350,203000,304500,Corretagem,Sim,Sim,20,Q3,01/08/2026,246,,,192850,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,10150,,,38570,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
WEG,https://app.hubspot.com/contacts/44715285/deal/45489233075,Bid,Negociação,Fausto Haderspeck,Gestão de saúde,38000,30000,265000,3180000,Fee por vida,Não,Não,50,Q2 2027,02/08/2027,246,,,,,,,,,,,,,,,265000,265000,265000,265000,265000,265000,265000,265000,265000,265000,,,,,,,,,,,,,,,132500,132500,132500,132500,132500,132500,132500,132500,132500,132500
NR,https://app.hubspot.com/contacts/44715285/deal/46637535036,Vendas,Consultoria,André Pontes,"Saúde;Odonto;Vida",974,467,70000,105000,Corretagem,Sim,Sim,5,Q3,30/09/2026,234,,,,66500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,,,,3325,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
Lenovo / Motorola,https://app.hubspot.com/contacts/44715285/deal/48474146109,Vendas,Consultoria,Juliana Dalberto,Gestão de saúde,5250,2100,27006,324072,Fee por vida,Não,Não,10,Q1 2027,30/04/2027,218,,,,,,,,,,,27006,27006,27006,27006,27006,27006,27006,27006,27006,27006,27006,27006,27006,27006,,,,,,,,,,,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701,2701
